TIMESTAMP | ROBOT | TOPIC | X | Y | YAW(deg)
-----------------------------------------------------------------
03:26:32.534 | iw_hub_5 | AMCL | X: 0.27 | Y: 12.00 | Yaw: 0.58°
03:26:33.797 | iw_hub_5 | AMCL | X: 0.55 | Y: 12.00 | Yaw: 0.26°
03:26:34.783 | iw_hub_4 | AMCL | X: 0.27 | Y: 9.00 | Yaw: -0.13°
03:26:34.915 | iw_hub_5 | AMCL | X: 0.80 | Y: 12.01 | Yaw: 0.90°
03:26:35.979 | iw_hub_4 | AMCL | X: 0.55 | Y: 9.00 | Yaw: -0.06°
03:26:36.118 | iw_hub_5 | AMCL | X: 1.08 | Y: 12.01 | Yaw: -0.17°
03:26:37.261 | iw_hub_5 | AMCL | X: 1.33 | Y: 12.03 | Yaw: 0.77°
03:26:37.262 | iw_hub_4 | AMCL | X: 0.84 | Y: 9.00 | Yaw: 0.15°
03:26:37.346 | iw_hub_3 | AMCL | X: 0.25 | Y: 6.00 | Yaw: -0.28°
03:26:38.409 | iw_hub_5 | AMCL | X: 1.58 | Y: 12.03 | Yaw: 1.29°
03:26:38.479 | iw_hub_4 | AMCL | X: 1.15 | Y: 8.99 | Yaw: -0.98°
03:26:38.617 | iw_hub_3 | AMCL | X: 0.55 | Y: 6.00 | Yaw: -0.71°
03:26:39.633 | iw_hub_5 | AMCL | X: 1.86 | Y: 12.05 | Yaw: 0.67°
03:26:39.635 | iw_hub_4 | AMCL | X: 1.42 | Y: 8.98 | Yaw: -0.82°
03:26:39.873 | iw_hub_3 | AMCL | X: 0.83 | Y: 5.99 | Yaw: -0.35°
03:26:40.183 | iw_hub_2 | AMCL | X: 0.27 | Y: 3.00 | Yaw: -0.09°
03:26:40.899 | iw_hub_4 | AMCL | X: 1.69 | Y: 8.97 | Yaw: -0.34°
03:26:40.900 | iw_hub_5 | AMCL | X: 2.14 | Y: 12.04 | Yaw: -0.06°
03:26:41.047 | iw_hub_3 | AMCL | X: 1.10 | Y: 5.99 | Yaw: -0.64°
03:26:41.618 | iw_hub_2 | AMCL | X: 0.57 | Y: 3.00 | Yaw: -0.25°
03:26:42.474 | iw_hub_3 | AMCL | X: 1.35 | Y: 5.99 | Yaw: -0.46°
03:26:42.613 | iw_hub_4 | AMCL | X: 1.97 | Y: 8.99 | Yaw: -0.11°
03:26:42.892 | iw_hub_5 | AMCL | X: 2.40 | Y: 12.04 | Yaw: -0.07°
03:26:47.152 | iw_hub_2 | AMCL | X: 0.81 | Y: 2.99 | Yaw: -2.74°
03:26:49.139 | iw_hub_2 | AMCL | X: 1.08 | Y: 2.98 | Yaw: -2.31°
03:26:50.346 | iw_hub_2 | AMCL | X: 1.36 | Y: 2.97 | Yaw: -2.20°
03:26:52.200 | iw_hub_2 | AMCL | X: 1.62 | Y: 2.97 | Yaw: -1.34°
03:26:52.554 | iw_hub_3 | AMCL | X: 1.50 | Y: 5.99 | Yaw: -13.07°
03:26:54.067 | iw_hub_3 | AMCL | X: 1.51 | Y: 6.01 | Yaw: -24.32°
03:26:54.137 | iw_hub_4 | AMCL | X: 2.22 | Y: 8.97 | Yaw: 0.63°
03:26:54.420 | iw_hub_5 | AMCL | X: 2.64 | Y: 12.03 | Yaw: -0.71°
03:26:55.287 | iw_hub_3 | AMCL | X: 1.53 | Y: 6.01 | Yaw: -36.80°
03:26:55.932 | iw_hub_4 | AMCL | X: 2.48 | Y: 8.98 | Yaw: 2.21°
03:26:56.517 | iw_hub_3 | AMCL | X: 1.53 | Y: 6.02 | Yaw: -49.53°
03:26:56.665 | iw_hub_5 | AMCL | X: 2.89 | Y: 12.03 | Yaw: 0.54°
03:26:57.763 | iw_hub_3 | AMCL | X: 1.54 | Y: 6.03 | Yaw: -61.87°
03:26:57.910 | iw_hub_4 | AMCL | X: 2.73 | Y: 8.98 | Yaw: 4.13°
03:26:59.073 | iw_hub_3 | AMCL | X: 1.54 | Y: 6.05 | Yaw: -74.60°
03:26:59.787 | iw_hub_5 | AMCL | X: 3.16 | Y: 12.05 | Yaw: 2.31°
03:27:00.209 | iw_hub_3 | AMCL | X: 1.53 | Y: 6.05 | Yaw: -85.91°
03:27:00.428 | iw_hub_4 | AMCL | X: 2.98 | Y: 9.01 | Yaw: 5.94°
03:27:01.435 | iw_hub_3 | AMCL | X: 1.54 | Y: 6.07 | Yaw: -98.28°
03:27:02.838 | iw_hub_3 | AMCL | X: 1.55 | Y: 6.09 | Yaw: -110.07°
03:27:03.995 | iw_hub_2 | AMCL | X: 1.69 | Y: 2.96 | Yaw: -13.39°
03:27:04.275 | iw_hub_4 | AMCL | X: 3.23 | Y: 9.05 | Yaw: 6.08°
03:27:05.267 | iw_hub_5 | AMCL | X: 3.42 | Y: 12.07 | Yaw: 1.89°
03:27:05.614 | iw_hub_2 | AMCL | X: 1.70 | Y: 2.95 | Yaw: -27.25°
03:27:06.887 | iw_hub_2 | AMCL | X: 1.71 | Y: 2.95 | Yaw: -39.25°
03:27:08.087 | iw_hub_2 | AMCL | X: 1.72 | Y: 2.96 | Yaw: -50.70°
03:27:09.243 | iw_hub_2 | AMCL | X: 1.73 | Y: 2.96 | Yaw: -62.15°
03:27:10.480 | iw_hub_2 | AMCL | X: 1.71 | Y: 2.97 | Yaw: -74.32°
03:27:10.481 | iw_hub_4 | AMCL | X: 3.31 | Y: 9.06 | Yaw: -5.27°
03:27:11.682 | iw_hub_2 | AMCL | X: 1.72 | Y: 2.96 | Yaw: -86.69°
03:27:11.825 | iw_hub_3 | AMCL | X: 1.54 | Y: 6.10 | Yaw: -121.97°
03:27:12.911 | iw_hub_2 | AMCL | X: 1.74 | Y: 2.95 | Yaw: -99.19°
03:27:14.332 | iw_hub_2 | AMCL | X: 1.72 | Y: 2.95 | Yaw: -111.27°
03:27:16.032 | iw_hub_2 | AMCL | X: 1.72 | Y: 2.94 | Yaw: -123.87°
